OBJECTID,Province_State,Country_Region,Lat,Long_,Confirmed,Recovered,Deaths,Active,Admin2,FIPS,Combined_Key,datetime
119,Guizhou,China,26.8154,106.8748,160,0,2,0,NA,NA,Guizhou, China,2022-01-18 16:21:15
120,Hainan,China,19.1959,109.7453,190,0,6,0,NA,NA,Hainan, China,2022-01-18 16:21:15
121,Hebei,China,37.8957,114.9042,1458,0,7,0,NA,NA,Hebei, China,2022-01-18 16:21:15
122,Heilongjiang,China,47.862,127.7615,2035,0,13,0,NA,NA,Heilongjiang, China,2022-01-18 16:21:15
123,Henan,China,33.882,113.614,2573,0,22,0,NA,NA,Henan, China,2022-01-18 16:21:15
124,Hong Kong,China,22.3,114.2,12873,0,213,0,NA,NA,Hong Kong, China,2022-01-18 16:21:15
125,Hubei,China,30.9756,112.2707,68320,0,4512,0,NA,NA,Hubei, China,2022-01-18 16:21:15
126,Hunan,China,27.6104,111.7088,1230,0,4,0,NA,NA,Hunan, China,2022-01-18 16:21:15
127,Inner Mongolia,China,44.0935,113.9448,1191,0,1,0,NA,NA,Inner Mongolia, China,2022-01-18 16:21:15
128,Jiangsu,China,32.9711,119.455,1629,0,0,0,NA,NA,Jiangsu, China,2022-01-18 16:21:15
129,Jiangxi,China,27.614,115.7221,959,0,1,0,NA,NA,Jiangxi, China,2022-01-18 16:21:15
130,Jilin,China,43.6661,126.1923,590,0,3,0,NA,NA,Jilin, China,2022-01-18 16:21:15
131,Liaoning,China,41.2956,122.6085,810,0,2,0,NA,NA,Liaoning, China,2022-01-18 16:21:15
132,Macau,China,22.1667,113.55,79,0,0,0,NA,NA,Macau, China,2022-01-18 16:21:15
133,Ningxia,China,37.2692,106.1655,122,0,0,0,NA,NA,Ningxia, China,2022-01-18 16:21:15
134,Qinghai,China,35.7452,95.9956,30,0,0,0,NA,NA,Qinghai, China,2022-01-18 16:21:15
135,Shaanxi,China,35.1917,108.8701,2823,0,3,0,NA,NA,Shaanxi, China,2022-01-18 16:21:15
