OBJECTID,Province_State,Country_Region,Lat,Long_,Confirmed,Recovered,Deaths,Active,Admin2,FIPS,Combined_Key,datetime
459,Overijssel,Netherlands,52.444558,6.441722,229991,0,1347,0,NA,NA,Overijssel, Netherlands,2022-01-18 16:21:15
460,Sint Maarten,Netherlands,18.0425,-63.0548,8680,0,75,0,NA,NA,Sint Maarten, Netherlands,2022-01-18 16:21:15
461,Unknown,Netherlands,NA,NA,20265,0,20,0,NA,NA,Unknown, Netherlands,2022-01-18 16:21:15
462,Utrecht,Netherlands,52.084251,5.163824,287934,0,1479,0,NA,NA,Utrecht, Netherlands,2022-01-18 16:21:15
463,Zeeland,Netherlands,51.47936,3.861559,73082,0,358,0,NA,NA,Zeeland, Netherlands,2022-01-18 16:21:15
464,Zuid-Holland,Netherlands,51.937835,4.462114,821263,0,4896,0,NA,NA,Zuid-Holland, Netherlands,2022-01-18 16:21:15
465,NA,New Zealand,-40.9006,174.886,15170,0,52,0,NA,NA,New Zealand,2022-01-18 16:21:15
466,Cook Islands,New Zealand,-21.2367,-159.7777,2,0,0,0,NA,NA,Cook Islands, New Zealand,2022-01-18 16:21:15
467,NA,Nicaragua,12.865416,-85.207229,17563,0,218,0,NA,NA,Nicaragua,2022-01-18 16:21:15
468,NA,Niger,17.607789,8.081666,8413,0,293,0,NA,NA,Niger,2022-01-18 16:21:15
469,NA,Nigeria,9.082,8.6753,251178,0,3110,0,NA,NA,Nigeria,2022-01-18 16:21:15
470,NA,North Macedonia,41.6086,21.7453,245398,0,8115,0,NA,NA,North Macedonia,2022-01-18 16:21:15
471,NA,Norway,60.472,8.4689,523424,0,1382,0,NA,NA,Norway,2022-01-18 16:21:15
472,NA,Oman,21.512583,55.923255,314853,0,4122,0,NA,NA,Oman,2022-01-18 16:21:15
473,Azad Jammu and Kashmir,Pakistan,34.027401,73.947253,34770,0,749,0,NA,NA,Azad Jammu and Kashmir, Pakistan,2022-01-18 16:21:15
474,Balochistan,Pakistan,28.328492,65.898403,33729,0,367,0,NA,NA,Balochistan, Pakistan,2022-01-18 16:21:15
475,Gilgit-Baltistan,Pakistan,35.792146,74.982138,10446,0,187,0,NA,NA,Gilgit-Baltistan, Pakistan,2022-01-18 16:21:15
476,Islamabad,Pakistan,33.665087,73.121219,111855,0,969,0,NA,NA,Islamabad, Pakistan,2022-01-18 16:21:15
477,Khyber Pakhtunkhwa,Pakistan,34.485332,72.09169,182419,0,5963,0,NA,NA,Khyber Pakhtunkhwa, Pakistan,2022-01-18 16:21:15
478,Punjab,Pakistan,30.811346,72.139132,454372,0,13091,0,NA,NA,Punjab, Pakistan,2022-01-18 16:21:15
479,Sindh,Pakistan,26.009446,68.776807,505930,0,7703,0,NA,NA,Sindh, Pakistan,2022-01-18 16:21:15
480,NA,Palau,7.515,134.5825,8,0,0,0,NA,NA,Palau,2022-01-18 16:21:15
481,NA,Panama,8.538,-80.7821,580324,0,7528,0,NA,NA,Panama,2022-01-18 16:21:15
482,NA,Papua New Guinea,-6.314993,143.95555,36446,0,596,0,NA,NA,Papua New Guinea,2022-01-18 16:21:15
483,NA,Paraguay,-23.4425,-58.4438,504380,0,16844,0,NA,NA,Paraguay,2022-01-18 16:21:15
484,Amazonas,Peru,-5.077253,-78.050172,34029,0,1293,0,NA,NA,Amazonas, Peru,2022-01-18 16:21:15
485,Ancash,Peru,-9.407125,-77.671795,88759,0,6789,0,NA,NA,Ancash, Peru,2022-01-18 16:21:15
486,Apurimac,Peru,-14.027713,-72.975378,27769,0,1528,0,NA,NA,Apurimac, Peru,2022-01-18 16:21:15
487,Arequipa,Peru,-15.843524,-72.475539,129320,0,9776,0,NA,NA,Arequipa, Peru,2022-01-18 16:21:15
488,Ayacucho,Peru,-14.091648,-74.08344,36885,0,2171,0,NA,NA,Ayacucho, Peru,2022-01-18 16:21:15
489,Cajamarca,Peru,-6.430284,-78.745596,72311,0,4205,0,NA,NA,Cajamarca, Peru,2022-01-18 16:21:15
490,Callao,Peru,-11.954609,-77.136042,113655,0,10146,0,NA,NA,Callao, Peru,2022-01-18 16:21:15
491,Cusco,Peru,-13.191068,-72.153609,87145,0,4854,0,NA,NA,Cusco, Peru,2022-01-18 16:21:15
492,Huancavelica,Peru,-13.023888,-75.00277,17317,0,1185,0,NA,NA,Huancavelica, Peru,2022-01-18 16:21:15
493,Huanuco,Peru,-9.421676,-76.040642,39063,0,2734,0,NA,NA,Huanuco, Peru,2022-01-18 16:21:15
494,Ica,Peru,-14.235097,-75.574821,67451,0,8627,0,NA,NA,Ica, Peru,2022-01-18 16:21:15
495,Junin,Peru,-11.541783,-74.876968,95384,0,7121,0,NA,NA,Junin, Peru,2022-01-18 16:21:15
496,La Libertad,Peru,-7.92139,-78.370238,101353,0,10420,0,NA,NA,La Libertad, Peru,2022-01-18 16:21:15
497,Lambayeque,Peru,-6.353049,-79.824113,72748,0,8738,0,NA,NA,Lambayeque, Peru,2022-01-18 16:21:15
498,Lima,Peru,-11.766533,-76.604498,1132690,0,89734,0,NA,NA,Lima, Peru,2022-01-18 16:21:15
499,Loreto,Peru,-4.124847,-74.424115,46244,0,4285,0,NA,NA,Loreto, Peru,2022-01-18 16:21:15
500,Madre de Dios,Peru,-11.972699,-70.53172,14466,0,782,0,NA,NA,Madre de Dios, Peru,2022-01-18 16:21:15
501,Moquegua,Peru,-16.860271,-70.839046,32200,0,1542,0,NA,NA,Moquegua, Peru,2022-01-18 16:21:15
502,Pasco,Peru,-10.39655,-75.307635,17252,0,1051,0,NA,NA,Pasco, Peru,2022-01-18 16:21:15
503,Piura,Peru,-5.133361,-80.335861,103155,0,12327,0,NA,NA,Piura, Peru,2022-01-18 16:21:15
504,Puno,Peru,-14.995827,-69.922726,45159,0,4276,0,NA,NA,Puno, Peru,2022-01-18 16:21:15
505,San Martin,Peru,-7.039531,-76.729127,51053,0,3043,0,NA,NA,San Martin, Peru,2022-01-18 16:21:15
506,Tacna,Peru,-17.644161,-70.27756,34636,0,1984,0,NA,NA,Tacna, Peru,2022-01-18 16:21:15
507,Tumbes,Peru,-3.857496,-80.545255,19965,0,1600,0,NA,NA,Tumbes, Peru,2022-01-18 16:21:15
508,Ucayali,Peru,-9.621718,-73.444929,32780,0,3091,0,NA,NA,Ucayali, Peru,2022-01-18 16:21:15
509,Unknown,Peru,NA,NA,119037,0,248,0,NA,NA,Unknown, Peru,2022-01-18 16:21:15
510,NA,Philippines,12.879721,121.774017,3270758,0,52962,0,NA,NA,Philippines,2022-01-18 16:21:15
511,NA,Poland,51.9194,19.1451,4343130,0,102686,0,NA,NA,Poland,2022-01-18 16:21:15
512,NA,Portugal,39.3999,-8.2245,1906891,0,19334,0,NA,NA,Portugal,2022-01-18 16:21:15
513,NA,Qatar,25.3548,51.1839,307056,0,630,0,NA,NA,Qatar,2022-01-18 16:21:15
514,NA,Romania,45.9432,24.9668,1928306,0,59327,0,NA,NA,Romania,2022-01-18 16:21:15
515,Adygea Republic,Russia,44.6939006,40.1520421,28450,0,792,0,NA,NA,Adygea Republic, Russia,2022-01-18 16:21:15
516,Altai Krai,Russia,52.6932243,82.6931424,125067,0,7027,0,NA,NA,Altai Krai, Russia,2022-01-18 16:21:15
517,Altai Republic,Russia,50.7114101,86.8572186,25739,0,536,0,NA,NA,Altai Republic, Russia,2022-01-18 16:21:15
518,Amur Oblast,Russia,52.8032368,128.437295,57278,0,627,0,NA,NA,Amur Oblast, Russia,2022-01-18 16:21:15
519,Arkhangelsk Oblast,Russia,63.5589686,43.1221646,126609,0,1554,0,NA,NA,Arkhangelsk Oblast, Russia,2022-01-18 16:21:15
520,Astrakhan Oblast,Russia,47.1878186,47.608851,83705,0,2562,0,NA,NA,Astrakhan Oblast, Russia,2022-01-18 16:21:15
521,Bashkortostan Republic,Russia,54.8573563,57.1439682,125813,0,4595,0,NA,NA,Bashkortostan Republic, Russia,2022-01-18 16:21:15
522,Belgorod Oblast,Russia,50.7080119,37.5837615,83719,0,1851,0,NA,NA,Belgorod Oblast, Russia,2022-01-18 16:21:15
523,Bryansk Oblast,Russia,52.8873315,33.415853,99404,0,3090,0,NA,NA,Bryansk Oblast, Russia,2022-01-18 16:21:15
524,Buryatia Republic,Russia,52.7182426,109.492143,78592,0,2543,0,NA,NA,Buryatia Republic, Russia,2022-01-18 16:21:15
525,Chechen Republic,Russia,43.3976147,45.6985005,31973,0,975,0,NA,NA,Chechen Republic, Russia,2022-01-18 16:21:15
526,Chelyabinsk Oblast,Russia,54.4223954,61.1865846,150758,0,6386,0,NA,NA,Chelyabinsk Oblast, Russia,2022-01-18 16:21:15
527,Chukotka Autonomous Okrug,Russia,66.0006475,169.4900869,2993,0,39,0,NA,NA,Chukotka Autonomous Okrug, Russia,2022-01-18 16:21:15
528,Chuvashia Republic,Russia,55.4259922,47.0849429,47495,0,4148,0,NA,NA,Chuvashia Republic, Russia,2022-01-18 16:21:15
529,Dagestan Republic,Russia,43.0574916,47.1332224,68027,0,3289,0,NA,NA,Dagestan Republic, Russia,2022-01-18 16:21:15
530,Ingushetia Republic,Russia,43.11542075,45.01713552,29878,0,492,0,NA,NA,Ingushetia Republic, Russia,2022-01-18 16:21:15
531,Irkutsk Oblast,Russia,56.6370122,104.719221,162229,0,7211,0,NA,NA,Irkutsk Oblast, Russia,2022-01-18 16:21:15
532,Ivanovo Oblast,Russia,56.9167446,41.4352137,70156,0,2646,0,NA,NA,Ivanovo Oblast, Russia,2022-01-18 16:21:15
533,Jewish Autonomous Okrug,Russia,48.57527615,132.6630746,11963,0,434,0,NA,NA,Jewish Autonomous Okrug, Russia,2022-01-18 16:21:15
534,Kabardino-Balkarian Republic,Russia,43.4806048,43.5978976,43495,0,1530,0,NA,NA,Kabardino-Balkarian Republic, Russia,2022-01-18 16:21:15
535,Kaliningrad Oblast,Russia,54.7293041,21.1489473,85243,0,1345,0,NA,NA,Kaliningrad Oblast, Russia,2022-01-18 16:21:15
536,Kalmykia Republic,Russia,46.2313018,45.3275745,34272,0,760,0,NA,NA,Kalmykia Republic, Russia,2022-01-18 16:21:15
537,Kaluga Oblast,Russia,54.4382773,35.5272854,67414,0,1265,0,NA,NA,Kaluga Oblast, Russia,2022-01-18 16:21:15
538,Kamchatka Krai,Russia,57.1914882,160.0383819,24322,0,521,0,NA,NA,Kamchatka Krai, Russia,2022-01-18 16:21:15
539,Karachay-Cherkess Republic,Russia,43.7368326,41.7267991,33303,0,924,0,NA,NA,Karachay-Cherkess Republic, Russia,2022-01-18 16:21:15
540,Karelia Republic,Russia,62.6194031,33.4920267,92523,0,1263,0,NA,NA,Karelia Republic, Russia,2022-01-18 16:21:15
541,Kemerovo Oblast,Russia,54.5335781,87.342861,89540,0,1805,0,NA,NA,Kemerovo Oblast, Russia,2022-01-18 16:21:15
542,Khabarovsk Krai,Russia,51.6312684,136.121524,129648,0,1302,0,NA,NA,Khabarovsk Krai, Russia,2022-01-18 16:21:15
543,Khakassia Republic,Russia,53.72258845,91.44293627,55004,0,2084,0,NA,NA,Khakassia Republic, Russia,2022-01-18 16:21:15
544,Khanty-Mansi Autonomous Okrug,Russia,61.0259025,69.0982628,98740,0,2103,0,NA,NA,Khanty-Mansi Autonomous Okrug, Russia,2022-01-18 16:21:15
545,Kirov Oblast,Russia,57.9665589,49.4074599,82210,0,790,0,NA,NA,Kirov Oblast, Russia,2022-01-18 16:21:15
546,Komi Republic,Russia,63.9881421,54.3326073,99217,0,2725,0,NA,NA,Komi Republic, Russia,2022-01-18 16:21:15
547,Kostroma Oblast,Russia,58.424756,44.2533273,49383,0,1146,0,NA,NA,Kostroma Oblast, Russia,2022-01-18 16:21:15
548,Krasnodar Krai,Russia,45.7684014,39.0261044,126804,0,9960,0,NA,NA,Krasnodar Krai, Russia,2022-01-18 16:21:15
549,Krasnoyarsk Krai,Russia,63.3233807,97.0979974,178277,0,9148,0,NA,NA,Krasnoyarsk Krai, Russia,2022-01-18 16:21:15
550,Kurgan Oblast,Russia,55.7655302,64.5632681,52192,0,1033,0,NA,NA,Kurgan Oblast, Russia,2022-01-18 16:21:15
551,Kursk Oblast,Russia,51.6568453,36.4852695,83531,0,2124,0,NA,NA,Kursk Oblast, Russia,2022-01-18 16:21:15
552,Leningrad Oblast,Russia,60.1853296,32.3925325,106214,0,3092,0,NA,NA,Leningrad Oblast, Russia,2022-01-18 16:21:15
553,Lipetsk Oblast,Russia,52.6935178,39.1122664,86500,0,2941,0,NA,NA,Lipetsk Oblast, Russia,2022-01-18 16:21:15
554,Magadan Oblast,Russia,62.48858785,153.9903764,13897,0,356,0,NA,NA,Magadan Oblast, Russia,2022-01-18 16:21:15
555,Mari El Republic,Russia,56.5767504,47.8817512,30072,0,958,0,NA,NA,Mari El Republic, Russia,2022-01-18 16:21:15
556,Mordovia Republic,Russia,54.4419829,44.4661144,41473,0,1094,0,NA,NA,Mordovia Republic, Russia,2022-01-18 16:21:15
557,Moscow,Russia,55.7504461,37.6174943,2104575,0,38013,0,NA,NA,Moscow, Russia,2022-01-18 16:21:15
558,Moscow Oblast,Russia,55.5043158,38.0353929,669733,0,12841,0,NA,NA,Moscow Oblast, Russia,2022-01-18 16:21:15
559,Murmansk Oblast,Russia,68.0000418,33.9999151,93800,0,2857,0,NA,NA,Murmansk Oblast, Russia,2022-01-18 16:21:15
560,Nenets Autonomous Okrug,Russia,68.27557185,57.1686375,3568,0,89,0,NA,NA,Nenets Autonomous Okrug, Russia,2022-01-18 16:21:15
561,Nizhny Novgorod Oblast,Russia,55.4718033,44.0911594,237376,0,10247,0,NA,NA,Nizhny Novgorod Oblast, Russia,2022-01-18 16:21:15
562,North Ossetia - Alania Republic,Russia,42.7933611,44.6324493,32215,0,1038,0,NA,NA,North Ossetia - Alania Republic, Russia,2022-01-18 16:21:15
563,Novgorod Oblast,Russia,58.2843833,32.5169757,67292,0,805,0,NA,NA,Novgorod Oblast, Russia,2022-01-18 16:21:15
564,Novosibirsk Oblast,Russia,54.9720169,79.4813924,99349,0,4464,0,NA,NA,Novosibirsk Oblast, Russia,2022-01-18 16:21:15
565,Omsk Oblast,Russia,56.0935263,73.5099936,134677,0,3364,0,NA,NA,Omsk Oblast, Russia,2022-01-18 16:21:15
566,Orel Oblast,Russia,52.9685433,36.0692477,72795,0,1589,0,NA,NA,Orel Oblast, Russia,2022-01-18 16:21:15
567,Orenburg Oblast,Russia,52.0269262,54.7276647,109768,0,3548,0,NA,NA,Orenburg Oblast, Russia,2022-01-18 16:21:15
568,Penza Oblast,Russia,53.1655415,44.7879181,104961,0,4792,0,NA,NA,Penza Oblast, Russia,2022-01-18 16:21:15
569,Perm Krai,Russia,58.5951603,56.3159546,166639,0,7671,0,NA,NA,Perm Krai, Russia,2022-01-18 16:21:15
570,Primorsky Krai,Russia,45.0819456,134.726645,107211,0,1639,0,NA,NA,Primorsky Krai, Russia,2022-01-18 16:21:15
571,Pskov Oblast,Russia,57.5358729,28.8586826,73015,0,1361,0,NA,NA,Pskov Oblast, Russia,2022-01-18 16:21:15
572,Rostov Oblast,Russia,47.6222451,40.7957942,200690,0,9904,0,NA,NA,Rostov Oblast, Russia,2022-01-18 16:21:15
573,Ryazan Oblast,Russia,54.4226732,40.5705246,63152,0,2728,0,NA,NA,Ryazan Oblast, Russia,2022-01-18 16:21:15
574,Saint Petersburg,Russia,59.9606739,30.1586551,888716,0,29126,0,NA,NA,Saint Petersburg, Russia,2022-01-18 16:21:15
575,Sakha (Yakutiya) Republic,Russia,66.941626,129.642371,78818,0,1832,0,NA,NA,Sakha (Yakutiya) Republic, Russia,2022-01-18 16:21:15
576,Sakhalin Oblast,Russia,49.7219665,143.448533,44171,0,593,0,NA,NA,Sakhalin Oblast, Russia,2022-01-18 16:21:15
577,Samara Oblast,Russia,53.2128813,50.8914633,204604,0,6556,0,NA,NA,Samara Oblast, Russia,2022-01-18 16:21:15
578,Saratov Oblast,Russia,51.6520555,46.8631952,136728,0,5242,0,NA,NA,Saratov Oblast, Russia,2022-01-18 16:21:15
579,Smolensk Oblast,Russia,55.0343496,33.0192065,87018,0,2483,0,NA,NA,Smolensk Oblast, Russia,2022-01-18 16:21:15
580,Stavropol Krai,Russia,44.8632577,43.4406913,130985,0,6314,0,NA,NA,Stavropol Krai, Russia,2022-01-18 16:21:15
581,Sverdlovsk Oblast,Russia,58.6414755,61.8021546,206748,0,9786,0,NA,NA,Sverdlovsk Oblast, Russia,2022-01-18 16:21:15
582,Tambov Oblast,Russia,52.9019574,41.3578918,64154,0,1839,0,NA,NA,Tambov Oblast, Russia,2022-01-18 16:21:15
583,Tatarstan Republic,Russia,55.7648572,52.43104273,44522,0,1531,0,NA,NA,Tatarstan Republic, Russia,2022-01-18 16:21:15
584,Tomsk Oblast,Russia,58.6124279,82.0475315,64020,0,690,0,NA,NA,Tomsk Oblast, Russia,2022-01-18 16:21:15
585,Tula Oblast,Russia,53.9570701,37.3690909,78937,0,4456,0,NA,NA,Tula Oblast, Russia,2022-01-18 16:21:15
586,Tver Oblast,Russia,57.1134475,35.1744428,102440,0,2423,0,NA,NA,Tver Oblast, Russia,2022-01-18 16:21:15
587,Tyumen Oblast,Russia,58.8206488,70.3658837,94116,0,3622,0,NA,NA,Tyumen Oblast, Russia,2022-01-18 16:21:15
588,Tyva Republic,Russia,51.4017149,93.8582593,31856,0,332,0,NA,NA,Tyva Republic, Russia,2022-01-18 16:21:15
589,Udmurt Republic,Russia,57.1961165,52.6959832,80422,0,3282,0,NA,NA,Udmurt Republic, Russia,2022-01-18 16:21:15
590,Ulyanovsk Oblast,Russia,54.1463177,47.2324921,122369,0,3973,0,NA,NA,Ulyanovsk Oblast, Russia,2022-01-18 16:21:15
591,Vladimir Oblast,Russia,56.0503336,40.6561633,84534,0,3018,0,NA,NA,Vladimir Oblast, Russia,2022-01-18 16:21:15
592,Volgograd Oblast,Russia,49.6048339,44.2903582,132909,0,5817,0,NA,NA,Volgograd Oblast, Russia,2022-01-18 16:21:15
593,Vologda Oblast,Russia,60.0391461,43.1215213,101847,0,3106,0,NA,NA,Vologda Oblast, Russia,2022-01-18 16:21:15
594,Voronezh Oblast,Russia,50.9800393,40.1506507,198756,0,7157,0,NA,NA,Voronezh Oblast, Russia,2022-01-18 16:21:15
595,Yamalo-Nenets Autonomous Okrug,Russia,67.1471631,74.3415488,63141,0,971,0,NA,NA,Yamalo-Nenets Autonomous Okrug, Russia,2022-01-18 16:21:15
596,Yaroslavl Oblast,Russia,57.7781976,39.0021095,89169,0,2028,0,NA,NA,Yaroslavl Oblast, Russia,2022-01-18 16:21:15
597,Zabaykalsky Krai,Russia,52.248521,115.956325,97908,0,1975,0,NA,NA,Zabaykalsky Krai, Russia,2022-01-18 16:21:15
598,NA,Rwanda,-1.9403,29.8739,125568,0,1411,0,NA,NA,Rwanda,2022-01-18 16:21:15
599,NA,Saint Kitts and Nevis,17.357822,-62.782998,5026,0,28,0,NA,NA,Saint Kitts and Nevis,2022-01-18 16:21:15
600,NA,Saint Lucia,13.9094,-60.9789,17666,0,314,0,NA,NA,Saint Lucia,2022-01-18 16:21:15
601,NA,Saint Vincent and the Grenadines,12.9843,-61.2872,6599,0,87,0,NA,NA,Saint Vincent and the Grenadines,2022-01-18 16:21:15
602,NA,Samoa,-13.759,-172.1046,3,0,0,0,NA,NA,Samoa,2022-01-18 16:21:15
603,NA,San Marino,43.9424,12.4578,10641,0,103,0,NA,NA,San Marino,2022-01-18 16:21:15
604,NA,Sao Tome and Principe,0.1864,6.6131,5569,0,66,0,NA,NA,Sao Tome and Principe,2022-01-18 16:21:15
605,NA,Saudi Arabia,23.885942,45.079162,626808,0,8910,0,NA,NA,Saudi Arabia,2022-01-18 16:21:15
606,NA,Senegal,14.4974,-14.4524,83174,0,1912,0,NA,NA,Senegal,2022-01-18 16:21:15
607,NA,Serbia,44.0165,21.0059,1467198,0,13124,0,NA,NA,Serbia,2022-01-18 16:21:15
608,NA,Seychelles,-4.6796,55.492,32846,0,140,0,NA,NA,Seychelles,2022-01-18 16:21:15
609,NA,Sierra Leone,8.460555,-11.779889,7558,0,125,0,NA,NA,Sierra Leone,2022-01-18 16:21:15
610,NA,Singapore,1.2833,103.8333,293014,0,843,0,NA,NA,Singapore,2022-01-18 16:21:15
611,NA,Slovakia,48.669,19.699,1424653,0,17398,0,NA,NA,Slovakia,2022-01-18 16:21:15
612,NA,Slovenia,46.1512,14.9955,547013,0,5715,0,NA,NA,Slovenia,2022-01-18 16:21:15
613,NA,Solomon Islands,-9.6457,160.1562,25,0,0,0,NA,NA,Solomon Islands,2022-01-18 16:21:15
614,NA,Somalia,5.152149,46.199616,24261,0,1335,0,NA,NA,Somalia,2022-01-18 16:21:15
615,NA,South Africa,-30.5595,22.9375,3560921,0,93451,0,NA,NA,South Africa,2022-01-18 16:21:15
616,NA,South Sudan,6.877,31.307,16533,0,136,0,NA,NA,South Sudan,2022-01-18 16:21:15
617,Andalusia,Spain,37.5443,-4.7278,1137643,0,11668,0,NA,NA,Andalusia, Spain,2022-01-18 16:21:15
618,Aragon,Spain,41.5976,-0.9057,308983,0,4242,0,NA,NA,Aragon, Spain,2022-01-18 16:21:15
619,Asturias,Spain,43.3614,-5.8593,142819,0,2217,0,NA,NA,Asturias, Spain,2022-01-18 16:21:15
620,Baleares,Spain,39.710358,2.995148,182036,0,1088,0,NA,NA,Baleares, Spain,2022-01-18 16:21:15
621,C. Valenciana,Spain,39.484,-0.7533,851611,0,8262,0,NA,NA,C. Valenciana, Spain,2022-01-18 16:21:15
622,Canarias,Spain,28.2916,-16.6291,224035,0,1289,0,NA,NA,Canarias, Spain,2022-01-18 16:21:15
623,Cantabria,Spain,43.1828,-3.9878,88768,0,653,0,NA,NA,Cantabria, Spain,2022-01-18 16:21:15
624,Castilla - La Mancha,Spain,39.2796,-3.0977,375238,0,6666,0,NA,NA,Castilla - La Mancha, Spain,2022-01-18 16:21:15
625,Castilla y Leon,Spain,41.8357,-4.3976,525373,0,7699,0,NA,NA,Castilla y Leon, Spain,2022-01-18 16:21:15
626,Catalonia,Spain,41.5912,1.5209,1604986,0,16217,0,NA,NA,Catalonia, Spain,2022-01-18 16:21:15
627,Ceuta,Spain,35.8894,-5.3213,14223,0,135,0,NA,NA,Ceuta, Spain,2022-01-18 16:21:15
628,Extremadura,Spain,39.4937,-6.0679,180392,0,2063,0,NA,NA,Extremadura, Spain,2022-01-18 16:21:15
629,Galicia,Spain,42.5751,-8.1339,367110,0,2840,0,NA,NA,Galicia, Spain,2022-01-18 16:21:15
630,La Rioja,Spain,42.2871,-2.5396,74562,0,864,0,NA,NA,La Rioja, Spain,2022-01-18 16:21:15
631,Madrid,Spain,40.4168,-3.7038,1353424,0,16439,0,NA,NA,Madrid, Spain,2022-01-18 16:21:15
632,Melilla,Spain,35.2923,-2.9381,16599,0,124,0,NA,NA,Melilla, Spain,2022-01-18 16:21:15
633,Murcia,Spain,37.9922,-1.1307,258434,0,1887,0,NA,NA,Murcia, Spain,2022-01-18 16:21:15
634,Navarra,Spain,42.6954,-1.6761,179838,0,1348,0,NA,NA,Navarra, Spain,2022-01-18 16:21:15
635,Pais Vasco,Spain,42.9896,-2.6189,538429,0,5292,0,NA,NA,Pais Vasco, Spain,2022-01-18 16:21:15
636,Unknown,Spain,NA,NA,0,0,0,0,NA,NA,Unknown, Spain,2021-04-25 23:20:49
637,NA,Sri Lanka,7.873054,80.771797,597707,0,15231,0,NA,NA,Sri Lanka,2022-01-18 16:21:15
638,NA,Sudan,12.8628,30.2176,51802,0,3388,0,NA,NA,Sudan,2022-01-18 16:21:15
639,NA,Summer Olympics 2020,35.6491,139.7737,865,0,0,0,NA,NA,Summer Olympics 2020,2022-01-18 16:21:15
640,NA,Suriname,3.9193,-56.0278,65282,0,1216,0,NA,NA,Suriname,2022-01-18 16:21:15
641,Blekinge,Sweden,56.2784,15.018,18223,0,140,0,NA,NA,Blekinge, Sweden,2022-01-18 16:21:15
642,Dalarna,Sweden,61.0917,14.6664,41950,0,371,0,NA,NA,Dalarna, Sweden,2022-01-18 16:21:15
643,Gavleborg,Sweden,61.3012,16.1534,49234,0,580,0,NA,NA,Gavleborg, Sweden,2022-01-18 16:21:15
644,Gotland,Sweden,57.4684,18.4867,6179,0,54,0,NA,NA,Gotland, Sweden,2022-01-18 16:21:15
645,Halland,Sweden,56.8967,12.8034,63918,0,341,0,NA,NA,Halland, Sweden,2022-01-18 16:21:15
646,Jamtland Harjedalen,Sweden,63.1712,14.9592,19636,0,130,0,NA,NA,Jamtland Harjedalen, Sweden,2022-01-18 16:21:15
647,Jonkoping,Sweden,57.3708,14.3439,59481,0,577,0,NA,NA,Jonkoping, Sweden,2022-01-18 16:21:15
648,Kalmar,Sweden,57.235,16.1849,34355,0,263,0,NA,NA,Kalmar, Sweden,2022-01-18 16:21:15
649,Kronoberg,Sweden,56.7183,14.4115,31601,0,334,0,NA,NA,Kronoberg, Sweden,2022-01-18 16:21:15
650,Norrbotten,Sweden,66.8309,20.3992,34685,0,300,0,NA,NA,Norrbotten, Sweden,2022-01-18 16:21:15
651,Orebro,Sweden,59.535,15.0066,45898,0,364,0,NA,NA,Orebro, Sweden,2022-01-18 16:21:15
652,Ostergotland,Sweden,58.3454,15.5198,58236,0,675,0,NA,NA,Ostergotland, Sweden,2022-01-18 16:21:15
653,Skane,Sweden,55.9903,13.5958,238935,0,1892,0,NA,NA,Skane, Sweden,2022-01-18 16:21:15
654,Sormland,Sweden,59.0336,16.7519,39994,0,493,0,NA,NA,Sormland, Sweden,2022-01-18 16:21:15
655,Stockholm,Sweden,59.6025,18.1384,417548,0,4637,0,NA,NA,Stockholm, Sweden,2022-01-18 16:21:15
656,Uppsala,Sweden,60.0092,17.2715,59644,0,565,0,NA,NA,Uppsala, Sweden,2022-01-18 16:21:15
657,Varmland,Sweden,59.7294,13.2354,34248,0,233,0,NA,NA,Varmland, Sweden,2022-01-18 16:21:15
658,Vasterbotten,Sweden,65.3337,16.5162,34586,0,204,0,NA,NA,Vasterbotten, Sweden,2022-01-18 16:21:15
659,Vasternorrland,Sweden,63.4276,17.7292,35797,0,489,0,NA,NA,Vasternorrland, Sweden,2022-01-18 16:21:15
660,Vastmanland,Sweden,59.6714,16.2159,46744,0,391,0,NA,NA,Vastmanland, Sweden,2022-01-18 16:21:15
661,Vastra Gotaland,Sweden,58.2528,13.0596,278860,0,2524,0,NA,NA,Vastra Gotaland, Sweden,2022-01-18 16:21:15
662,NA,Switzerland,46.8182,8.2275,1763497,0,12529,0,NA,NA,Switzerland,2022-01-18 16:21:15
663,NA,Syria,34.802075,38.996815,50748,0,2950,0,NA,NA,Syria,2022-01-18 16:21:15
664,NA,Taiwan*,23.7,121,17951,0,851,0,NA,NA,Taiwan*,2022-01-18 16:21:15
665,NA,Tajikistan,38.861,71.2761,17493,0,125,0,NA,NA,Tajikistan,2022-01-18 16:21:15
666,NA,Tanzania,-6.369028,34.888822,31395,0,745,0,NA,NA,Tanzania,2022-01-18 16:21:15
667,NA,Thailand,15.870032,100.992541,2308615,0,21898,0,NA,NA,Thailand,2022-01-18 16:21:15
668,NA,Timor-Leste,-8.874217,125.727539,19865,0,122,0,NA,NA,Timor-Leste,2022-01-18 16:21:15
669,NA,Togo,8.6195,0.8248,35993,0,263,0,NA,NA,Togo,2022-01-18 16:21:15
670,NA,Tonga,-21.179,-175.1982,1,0,0,0,NA,NA,Tonga,2022-01-18 16:21:15
671,NA,Trinidad and Tobago,10.6918,-61.2225,101376,0,3208,0,NA,NA,Trinidad and Tobago,2022-01-18 16:21:15
672,NA,Tunisia,33.886917,9.537499,791917,0,25817,0,NA,NA,Tunisia,2022-01-18 16:21:15
673,NA,Turkey,38.9637,35.2433,10524029,0,84920,0,NA,NA,Turkey,2022-01-18 16:21:15
